ID,#knockouts (pFBA),R_biomass_SC5_notrace (pFBA),R_EX_fum_e_ (pFBA),R_EX_glc_e_ (pFBA),BPCY (pFBA),CYIELD (pFBA),FVA~min~R_EX_fum_e_ (pFBA),FVA~max~R_EX_fum_e_ (pFBA),SOLUTION
sol_58#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],7.0,0.06874473959440103,0.5509493290756148,-1.15,0.03293466796262009,0.3193909154061535,0.5506503471104662,0.5512769200128593,YKL029C YBR196C YLR438W YPL061W YNL277W YFL018C YPL262W 
sol_59#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],7.0,0.07696098149173318,0.5025262454622942,-1.15,0.03363035919663808,0.2913195625868372,0.5024426599003184,0.5026342744501541,YKL029C YBR196C YHR208W YML082W YLR303W YGR244C YPL262W 
sol_60#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],5.0,0.07706539694005855,0.5019079154746928,-1.15,0.03363455020296918,0.2909611104201118,0.5018243191140175,0.5020159747899069,YKL029C YBR196C YHR208W YGR244C YPL262W 
sol_61#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],6.0,0.07698746986489484,0.5024415089074763,-1.15,0.03363626132685794,0.2912704399463631,0.5022858103680391,0.5024774206332048,YKL029C YBR196C YLR438W YLR303W YGR244C YPL262W 
sol_62#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],5.0,0.0770145521323403,0.5022090241416709,-1.15,0.033632524409643885,0.2911356661690846,0.502125435466855,0.5023170538629398,YKL029C YBR196C YLR303W YGR244C YPL262W 
sol_63#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],7.0,0.07696098149173318,0.5025262454624689,-1.15,0.03363035919664978,0.29131956258693853,0.5024426696792055,0.5026342744501541,YKL029C YBR196C YHR208W YML082W YOR142W YLR303W YPL262W 
sol_64#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],5.0,0.07706539694005855,0.501907915474653,-1.15,0.03363455020296651,0.2909611104200887,0.5018243191140175,0.5020159747899069,YKL029C YBR196C YHR208W YOR142W YPL262W 
sol_65#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],5.0,0.07708567822189148,0.5017878412789208,-1.15,0.03363535310302996,0.2908915021906788,0.5017042777114501,0.5018958710022046,YKL029C YBR196C YLR142W YPL262W YIL125W 
sol_66#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],6.0,0.07698746986489484,0.5024415089074754,-1.15,0.033636261326857875,0.2912704399463626,0.5022858103680391,0.5024774206332048,YKL029C YBR196C YLR438W YLR303W YPL262W YIL125W 
sol_67#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],7.0,0.07691298098729556,0.5028826049763272,-1.15,0.03363321759598775,0.29152614781236363,0.5027268863770709,0.5029185144617985,YKL029C YBR196C YLR438W YPL061W YNL277W YPL262W YIL125W 
sol_68#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],5.0,0.07705854590310378,0.502020622433497,-1.15,0.03363911232877945,0.2910264477875345,0.5018649340044213,0.502056540167556,YKL029C YBR196C YLR438W YPL262W YIL125W 
sol_69#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],4.0,0.07708567814903042,0.5017878348940283,-1.15,0.03363535264325208,0.2908914984892918,0.5017042655368698,0.5018958731706269,YKL029C YBR196C YPL262W YIL125W 
sol_70#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],6.0,0.07698746986489484,0.5024415089074754,-1.15,0.033636261326857875,0.2912704399463626,0.5022858103680391,0.50247742074962,YKL029C YBR196C YLR438W YOR142W YLR303W YPL262W 
sol_71#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],5.0,0.0770145521323403,0.5022090241416709,-1.15,0.033632524409643885,0.2911356661690846,0.502125435466855,0.5023170514182173,YKL029C YBR196C YOR142W YLR303W YPL262W 
